# 几何战士 - 难度递增记录
# 会话ID: 20260223_171658
# 开始时间: 2026-02-23 17:16:58
# 总游戏时间: 55.03秒
# 最终难度等级: 11

GameTime,Level,SpawnInterval,MaxEnemies,ActiveEnemies,EnemyMultiplier,EnemyMaxHealth,EnemyAttack
5.00,1,0.909,33,2,1.10,33,11
10.01,2,0.826,36,3,1.21,36,12
15.01,3,0.751,40,3,1.33,40,13
20.01,4,0.683,44,3,1.46,44,15
25.02,5,0.621,48,4,1.61,48,16
30.02,6,0.564,53,3,1.77,53,18
35.02,7,0.513,58,7,1.95,58,19
40.02,8,0.467,64,6,2.14,64,21
45.02,9,0.424,71,7,2.36,71,24
50.03,10,0.386,78,4,2.59,78,26
55.03,11,0.350,86,6,2.85,86,29
